Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
26/01/2018,"46 Longview Avenue, Millers Glen, Swords",Dublin,,"€299,879.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.4746897,-6.2421228
05/06/2018,"34 MEADOW COURT, CLAREMORRIS, MAYO",Mayo,,"€118,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.71667,-9.0
12/06/2018,"ARDTRASNA, BALLINFULL, SLIGO",Sligo,,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
30/08/2018,"2 WILLOWBANK PARK, RATHFARNHAM, DUBLIN 14",Dublin,,"€702,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.2887399,-6.293584
06/11/2018,"48 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS",Monaghan,,"€79,393.96",No,No,Second-Hand Dwelling house /Apartment,,53.97278,-6.71889
13/12/2018,"7 LEONARD'S COURT, CLANBRASSIL ST, DUBLIN 8",Dublin,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
16/03/2018,"27 LISMORE, EARLSFORT, BLACKROCK",Louth,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.9624858,-6.3832873
01/08/2018,"NO. 57 COLLEGE STREET, CAVAN",Cavan,,"€28,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.9883579,-7.3620069
24/05/2018,"APT C 15, EDWARD COURT, EDWARD ST",Kerry,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.16667,-9.75
02/08/2018,"1 SOUTH VIEW, BALLINLOUGH RD, CORK",Cork,,"€237,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
23/04/2018,"1 WILLOW BROOK, TALLOW, WATERFORD",Waterford,,"€134,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.09278,-8.00806
11/12/2018,"8 White Oaks Way, Rickardstown, Newbridge",Kildare,,"€275,000.00",No,Yes,New Dwelling house /Apartment,,53.18194,-6.79667
21/06/2018,"13 OAK GLADE HALL, NAAS, KILDARE",Kildare,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2085645,-6.6512207
