Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
03/10/2024,"DOCTORS RD, BALLYHAUNIS, MAYO",Mayo,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7667235,-8.7709724
29/07/2024,"73 ASHINGTON AVE, NAVAN RD, DUBLIN 7",Dublin,D07E9P5,"€540,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3733742,-6.3148673
16/08/2024,"4 FRANKFORT PARK, DUNDRUM, DUBLIN 14",Dublin,D14K8E2,"€1,370,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2958896,-6.2476514
05/01/2024,"RAHEENAGH, BALLAGH, CO. LIMERICK",Limerick,V42FA47,"€83,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.37389,-9.07806
08/02/2024,"54 DROMARD RD, DRIMNAGH, DUBLIN 12",Dublin,D12R657,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
03/01/2024,"DRUMNACOOHA, BALLINALEE, LONGFORD",Longford,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.77509,-7.65593
16/02/2024,"41 Elder Walk, Summerfields, Kilbarry",Waterford,,"€291,818.50",No,Yes,New Dwelling house /Apartment,,52.2306843,-7.1300174
31/12/2024,"UNIT 9 THE LAKES, RETIREMENT VILLAGE, KILLALOE",Clare,V94X7Y0,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.80667,-8.44361
17/11/2024,"SHEEGOREY, BOYLE, CO ROSCOMMON",Roscommon,F52X272,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.0054818,-8.3064476
07/06/2024,"13 THE RAILWALK, WESTPORT, CO MAYO",Mayo,F28TT49,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7954719,-9.5252031
26/06/2024,"21 KNOCKAGOW, THE QUAY, CARRICK ON SUIR",Tipperary,E32HC83,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
30/04/2024,"5E SILVER STREET, NENAGH, CO TIPPERARY",Tipperary,E45V526,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.8623613,-8.2004285
24/04/2024,"19 MULGRAVE ST, DUN LOAGHAIRE, DUBLIN",Dublin,A96KP70,"€930,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
